date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:02:50	2565/2565	---M--	200	added ('OK')	application/json	date:Mon,%2013%20Jan%202020%2016:02:49%20GMT	http://localhost:8080/wordpress/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=http%3A%2F%2Flocalhost%3A8080%2Fwordpress%2F%3Fp%3D998	C:/Users/sss/Desktop/hhh/wp/wordpress/index8dcf.json	(from http://localhost:8080/wordpress/)
00:02:50	842/842	---M--	200	added ('OK')	application/rss+xml	etag:%22a95321c032b8e2248151a2eb025477d4%22	http://localhost:8080/wordpress/?feed=rss2&p=998	C:/Users/sss/Desktop/hhh/wp/wordpress/index56e9.html	(from http://localhost:8080/wordpress/?p=998)
00:02:50	2681/2681	---M--	200	added ('OK')	text/xml	date:Mon,%2013%20Jan%202020%2016:02:49%20GMT	http://localhost:8080/wordpress/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=http%3A%2F%2Flocalhost%3A8080%2Fwordpress%2F%3Fp%3D998&format=xml	C:/Users/sss/Desktop/hhh/wp/wordpress/indexa1a8.php	(from http://localhost:8080/wordpress/)
00:02:50	2475/2475	---M--	200	added ('OK')	application/json	date:Mon,%2013%20Jan%202020%2016:02:50%20GMT	http://localhost:8080/wordpress/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=http%3A%2F%2Flocalhost%3A8080%2Fwordpress%2F%3Fp%3D997	C:/Users/sss/Desktop/hhh/wp/wordpress/indexb4e5.json	(from http://localhost:8080/wordpress/)
00:02:51	53949/53949	---MC-	200	added ('OK')	application/rss+xml	etag:%22d4e35160704d9c7666e8fc3e2b666699%22	http://localhost:8080/wordpress/?feed=rss2&author=1	C:/Users/sss/Desktop/hhh/wp/wordpress/index78a0.html	(from http://localhost:8080/wordpress/?author=1)
00:02:51	812/812	---M--	200	added ('OK')	application/rss+xml	etag:%22cef1968a43954f04c844465b8d677d67%22	http://localhost:8080/wordpress/?feed=rss2&p=997	C:/Users/sss/Desktop/hhh/wp/wordpress/indexc475.html	(from http://localhost:8080/wordpress/?p=997)
00:02:51	2591/2591	---M--	200	added ('OK')	text/xml	date:Mon,%2013%20Jan%202020%2016:02:50%20GMT	http://localhost:8080/wordpress/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=http%3A%2F%2Flocalhost%3A8080%2Fwordpress%2F%3Fp%3D997&format=xml	C:/Users/sss/Desktop/hhh/wp/wordpress/indexaea6.php	(from http://localhost:8080/wordpress/)
00:02:51	2343/2343	---M--	200	added ('OK')	application/json	date:Mon,%2013%20Jan%202020%2016:02:51%20GMT	http://localhost:8080/wordpress/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=http%3A%2F%2Flocalhost%3A8080%2Fwordpress%2F%3Fp%3D996	C:/Users/sss/Desktop/hhh/wp/wordpress/index2eb4.json	(from http://localhost:8080/wordpress/)
00:02:51	768/768	---M--	200	added ('OK')	application/rss+xml	etag:%22cef1968a43954f04c844465b8d677d67%22	http://localhost:8080/wordpress/?feed=rss2&p=996	C:/Users/sss/Desktop/hhh/wp/wordpress/indexa280.html	(from http://localhost:8080/wordpress/?p=996)
00:02:52	2459/2459	---M--	200	added ('OK')	text/xml	date:Mon,%2013%20Jan%202020%2016:02:51%20GMT	http://localhost:8080/wordpress/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=http%3A%2F%2Flocalhost%3A8080%2Fwordpress%2F%3Fp%3D996&format=xml	C:/Users/sss/Desktop/hhh/wp/wordpress/index8735.php	(from http://localhost:8080/wordpress/)
00:02:52	2487/2487	---M--	200	added ('OK')	application/json	date:Mon,%2013%20Jan%202020%2016:02:52%20GMT	http://localhost:8080/wordpress/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=http%3A%2F%2Flocalhost%3A8080%2Fwordpress%2F%3Fp%3D995	C:/Users/sss/Desktop/hhh/wp/wordpress/indexc70f.json	(from http://localhost:8080/wordpress/)
00:02:52	816/816	---M--	200	added ('OK')	application/rss+xml	etag:%22d1475001c9fded8197f38751e2553c90%22	http://localhost:8080/wordpress/?feed=rss2&p=995	C:/Users/sss/Desktop/hhh/wp/wordpress/index7ece.html	(from http://localhost:8080/wordpress/?p=995)
00:02:52	2603/2603	---M--	200	added ('OK')	text/xml	date:Mon,%2013%20Jan%202020%2016:02:52%20GMT	http://localhost:8080/wordpress/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=http%3A%2F%2Flocalhost%3A8080%2Fwordpress%2F%3Fp%3D995&format=xml	C:/Users/sss/Desktop/hhh/wp/wordpress/index5f51.php	(from http://localhost:8080/wordpress/)
00:02:53	2529/2529	---M--	200	added ('OK')	application/json	date:Mon,%2013%20Jan%202020%2016:02:52%20GMT	http://localhost:8080/wordpress/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=http%3A%2F%2Flocalhost%3A8080%2Fwordpress%2F%3Fp%3D994	C:/Users/sss/Desktop/hhh/wp/wordpress/indexab70.json	(from http://localhost:8080/wordpress/)
00:02:53	830/830	---M--	200	added ('OK')	application/rss+xml	etag:%22e2230f229205e4cb31242f78c1589a56%22	http://localhost:8080/wordpress/?feed=rss2&p=994	C:/Users/sss/Desktop/hhh/wp/wordpress/index61e3.html	(from http://localhost:8080/wordpress/?p=994)
00:02:53	2651/2651	---M--	200	added ('OK')	text/xml	date:Mon,%2013%20Jan%202020%2016:02:53%20GMT	http://localhost:8080/wordpress/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=http%3A%2F%2Flocalhost%3A8080%2Fwordpress%2F%3Fp%3D994&format=xml	C:/Users/sss/Desktop/hhh/wp/wordpress/index2b22.php	(from http://localhost:8080/wordpress/)
00:02:53	2388/2388	---M--	200	added ('OK')	application/json	date:Mon,%2013%20Jan%202020%2016:02:53%20GMT	http://localhost:8080/wordpress/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=http%3A%2F%2Flocalhost%3A8080%2Fwordpress%2F%3Fp%3D993	C:/Users/sss/Desktop/hhh/wp/wordpress/indexe2f7.json	(from http://localhost:8080/wordpress/)
